"","tweet"
"143","highest inflation in decades giving guns to the terrorists in afghanistan shuts down pipe line that is less environmentally harmful than russias no russian oil sanctions i can go on"
"144","the ruso envasion might encourage the sleeping giant to do the same this is a call for a geopolitically wise leader in the coming elections in the country kakayahan katapangan katapatan"
"145","ping lacson i chose you"
"146","ang tagal na sinasabi ni sen ping lacson niyan siya ang lone crusader righting wrongs tuwing budget deliberations lets choose the real leader on 5922"
"147","i couldnt agree more"
"148","lacson on ukraine russia conflict"
"149","lacsonsotto importante na dumalo lahat sa debate para magkaalaman"
"150","ang init ng pagtanggap ng mga batague o sa tandem iba talaga ang nina at"
"151","tayo ang pipili ng ating kapalaran pinglacson"
"152","lacson and sotto stressed their support for the growth of the farming sector following campaign sorties in nueva ecija and laguna both foodproducing provinces whose farmers and fishermen have suffered"
"153","hindi ka mapapahiya"
"154","very disgusting"
"155","nothing say strength like a president bumbling his way through reading what could arguably be one of the most historically significant speeches of our time"
"156","lacsonsotto proposes a paluwagan system for msmes farmers and fishermen"
"157","withdraw na lang from the race and endorse will love you and you will remain relevant"
"158","magising na sana ang mga pilipino himayin at unawain ang plataporma pagkatao ng isang kandidato para sa kinabukasan ng inang bayan"
"159","magising na sana ang mga pilipino himayin at unawain ang plataporma pagkatao ng isang kandidato para sa kinabukasan ng inang bayan"
"160","are these generals also communist"
"161","is the most qualified for the president"
"162","we need a change we need a leaders who concerned for filipino people we need lacson sotto tandem in our country"
"163","o ayan ha"
"164","napakasakit kay ang umasat mabigokala nya malakas sya sa mga kabitenyosya rito"
"165","ping lacson monochrome vector art"
"166","di ko din masisisi si kasi taga cavite sya pero hindi kasing dami at kasing init ang pagtanggap sa kanya ng kapwa niya cavite o tulad ng pagtanggap nyo kay vp leni"
"167","hes a chameleon has an ability to change color"
"168","nanginginig na sa takot ang mga ulopong na katulad nina at masamaman sabihin ito per sasabihin ko pa rinlord kunin nyo na po sila"
"169","tsismoso kang hayup ka ang sarap isigaw sa pagmumukha ni aka ping blockson"
"170","ampalayng ampalaya si kasi wala syang magnetic personality para magkaroon ng 40k47k audience sa kanyang mga grand rallieskawawa namanpangalawang beses na nyang pagtakbo yan bilang presidente pero nangangamoy talo pa rin"
"171","special marites award"
"172","cavite has heroes and villains i know i came from a family of true heroes de dios i dont know where the families of came from"
"173","hindi kami bayad is the crowds new favorite chant"
"174","so sad grabe bigla akong naturned off kay ping nubayan sila pa naman ni mami leni pinagpipilian ko noon im glad i ultimately decided to go for mami leni"
"175","here are the reasons why i support and dont support some presidential candidates to old fashion to lead a new era generation with new era problems nagpapakahirap nga akong makapagtapos ng pagaaral tapos susuportahan ko pa ang fake graduate na yan"
"176","backyard nya ang cavite and no one bothered to show up sa proclamation rally nya loser"
"177","shame on you mahiya ka naman sa libolibong volunteers na nagsikap at nagpagod para sa rallies namin"
"178","hello marites"
"179","something wrong with cavite is also his bailiwick with the multitude of attendees he didnt attack vplr so he chose to retaliate against his cavite o kababayans wrong move pingpingping bang"
"180","and the pinks are now going after sen ping ano yun sila lang ang tama they cant accept that their ideologies are simply not aligned with sen ping truth hurts"
"181","i was there to support vp leni i spent for my gas and water and snacks total expenses a lot more than 500 pesos i thought youre a wise man"
"182","alamano kyo dyan"
"183","volleyball player pala si"
"184","may asul pula puti at dilaw ang kulay ng watawat ng pilipinas walang pink o lang"
"185","kailangang magpakalat ng paninira ang mga na sinawsawan pa ni kasi ayaw nilang manalo ang magtatapos nang maliligayang araw nilasi"
"186","truth hurts really with out basis and proof tas doon pa sa remulla sinungaling at naissue ng 2019 my gosh what a shame"
"187","ping lacson is the perfect example ng ambisyoso at hahamakin lahat makuha lang ang gusto kahit alam nya sa sarili fake news yun papatulan para maibagsak ang kalaban lubhang naging basura ang mga senador ngayon boboto ba tayo ng mga inutil tanga at basura"
"188","iboboto ko si kaso i unblock mo muna ako hinde pa election block mo na ako"
"189","sayang ka ping believe na believe pa ako sayo kahit maka leni ako"
"190","honestly scared me with his pronouncement on s accusations vs the supporters who went to he is the principal author of antiterror law it is like any can end up dead becau"
"191","is scaring me honest i feel we will end up dead too just because we are pinning our hopes on someone unconventional goosebumps are real"
"192","mag check lang dapat ako kung totoo yung tweet ni lacson regarding sa pag red tag niya kay leni at mga volunteers kaso naka block pala ko why naman ganun"
"193","hindi nila kaya lakas ng so they are resorting to black propaganda and this masakit ba sa mata magshades kayo baby em and"
"194","ang dami ata kalaban ngayon ng pinkies hahaha eh may bayaran nmn talagang naganap sa cavite"
"195","makabayan ako kay ako"
"196","butthurt ampota you can never gather a crowd like these ping is such a disappointment ikaw pa naman second choice ko maigi pa si manny and ka leody sayo pag inggit pikit"
"197","at sen huwag po kayong gumaya katulad nina putinina or ni xijinping"
"198","yung blocked na kaagad ako ni pero wala pa ako ginagawa"
"199","expected na natin magshift kay vp leni ang attack ng mga kalaban since nasa kanya na ang momentum"
"200","desperado na ba kaya nagredtagging"
"201","we need to see vp leni or anyone with her slate to release statement about these redtaggings this has to be heard from them or else misinformation will still be more inevitable and worst for all"
"202","pwede pa naman magbagong buhaypwede kang maging kakampink or umattend ka ng mga sorties nina para first hand information agad makuha mo huwag maritess marisol iyon lang naman ang sagot doon same advise goes to too"
"203","kapal talaga n ping lacson nohpag kay leni nag rally mga kabataan npa bayaran pag sa kanila kusa mga volunteer hindi bayaran mga trapo basura"
"204","ayan po sen sa ginagawa nyu minamaliit nyu ang malinis na hangarin ng mga supporters at mamamayan nais lang ay malinis na pamahalaan"
"205","imagine a presidentiable believing in fake news and red tagging its a good thing you would never win"
"206","no knowledge in foreign policy s sagot sa cnn debate is spot on take note"
"207","maawa kayo sa pilipinas pleaseee"
"208","youre the only person that our country needs i vote for you sir ping"
"209","our most needed person this time people senator ping lacson"
"210","senator ping lacson is the most qualified to be the next president in our country philippines"
"211","no doubt senator ping can do more good in this country"
"212","boto ko to click on the photo of your chosen candidate and write the reason why youre voting for himher check the full details here"
"213","win or loose i dont think masasayang ang boto naming mag asawa kay sen"
"214","philippines and singapore southeast asias 2021 best performing economy"
"215","senator ping is the most qualified to be the next president in our country"
"216","pumili ng tama sa mayo 9 2022"
"217","i am for i am voting for him to be president on may 9th only the most competent the most experienced and the most qualified should seat at the highest position in the land kakayahan katapangan katapatan"
"218","wag mo naman masyadong galingan ping lacson"
"219","your vote is your power what kind of president would you elect in other words"
"220","theres no time for regrets but theres still time to and save yourself from making the wrong decision lets go forward lacsonsotto na tayo"
"221","we deserve the government we choose i choose for strong leadership that has been tried and tested through time not pushovers not puppets not plunderers"
"222","no drama no gimmick no fuzz plataporma hindi puro porma is my president the best among the rest periodt"
"223","we need concrete doable and sensible plans for the country and the right man to get the job done our country needs to be its president tara na lacson na"
"224","we need a seasoned public servant who is disciplined knowledgeable in governance has high integrity and the political will to be able to implement laws we need to win the presidency"
"225","i agree with sp sotto he is stating a fact"
"226","pag nagtagumpay ang russia sa ukraine malamang may gumayang iba yung mga teritoryo natin di malayong pasukin ng tsina dapat ang mga lider natin matapang at handa sa ganyang laban ping lacson at tito sotto lang ang sakalam"
"227","solid vote for sen"
"228","theres no time for regrets but theres still time to and save yourself from making the wrong decision lets go forward lacsonsotto na tayo"
"229","mga kababayan pwede pang humabol lahat ng nagdadalawang isip pa go na tayo kay sen learn about his track record watch old news hes impressive ever since"
"230","proud to say that this is my president"
"231","sapat at nararapat"
"232","para sa maayos na gobyerno sa susunod na anim na taon utang na loob paexperience naman"
"233","am a lacson believer more power to you"
"234","ang tunay na bilang ay makikita sa araw ng botohan kaya wag masyadong naniniwala sa mga survey"
"235","don tayo sa magpapanalo sa pamilyang pilipino ctto"
"236","ping lacson lang talaga ang may tapang at talino at most qualified maging sunod na presidente ng pilipinas laging handa at mabilis mag isip ng solusyon sa kahit anong problema ang dumating sa bansa natin"
"237","wala ng mas qualified na maging sunod na presidente ng pilipinas kundi ikaw ping lacson nasayo na lahat ng kailangan ng isang magaling at matalinong leader na kailangan ng bansa natin"
"238","sapat at nararapat"
"239","governor chiz escudero welcomes senate president tito sotto and senator ping lacson in the amazing province of sorsogon"
"240","malaking bagay din ang debate nakikita ng mga tao kung sino yung talaga qualified at si ping lacson na yun"
"241","ping lacson lang ang siguradong kayanag aksyonan ang problemang korapsyon sa gobyerno natin at makakapag bigay ng maayos na kinabukasan sa mamamayang pilipino"
"242","president"
"243","reposting an old toon nararamdaman nyo rin"
"244","got my lenikiko canvas bag"
"245","live now nlex road warriors vs brgy ginebra san miguel watch on pba rush via"
"246","tanggalangsakitng katawanjpeg"
"247","live now blackwater bossing vs tnt tropang giga watch on pba rush via"
"248","nakakainis lang talaga yung ibang kakampinks na edukado kuno pero ayaw mag asal edukado please lang guys respect each others choices"
"249","on point"
"250","sabi ng kural panalo na sila pero magkakasama sila ng mga kural ni at na pinagtutulungan ibagsak si vp saan ang lohika dito"
"251","nice i red tag yang si digong"
"252","mas magiging makabuluhan kung aatras na kayo at susuporta kay"
"253","grabeeeee ang sayaaaaa mas masaya dito kaya ano pang hinihintay mo tara"
"254","i believe lacson should be on the number 2 spot battling it out with bbm if only pinoy will check"
"255","nagpapagod lang kayo at milyamilya na ang layo ni sainyoraise the white flag nowmakipaglaro na lang kayo sa mga apo nyo"
"256","hahahahah lumalabas na pakawala si ng dati nyang boss na si imeldi eh kung ano anong statement nilalabas na walang verification show us proof hindi yung sa sinabi lang magbase"
"257","is on the roll"
"258","aminin nyo na at hindi nyo kayang tapatan ang ganitong energy at saya ng grand rally"
"259","first thing i want candidates asked is can you vouch for the integrity of everyone in your senatorial slate"
"260","best rap of the year"
"261","several presidents have sat down but this issue has not yet been given due attention thank you sen ping lacson because there is someone now who will stand in this predicament"
"262","several presidents have sat down but this issue has not yet been given due attention thank you sen ping lacson because there is someone now who will stand in this predicament"
"263","several presidents have sat down but this issue has not yet been given due attention thank you sen ping lacson because there is someone now who will stand in this predicament"
"264","to all celebrities endorsing political candidates can you help us understand by sharing your reasons why we should vote for them not just by performing on stage or using generic taglines"
"265","well said personally silang dalawa ni dapat ang nasa top 2 walang personalan trabaho at malasakit lang para sa bayan walang katoxican sa buhay"
"266","ganyang yung panic mode na give up na"
"267","tama po kaukawawa nmn ang mga sundalo nito"
"268","so is right all along"
