date,username,tweet,hashtags,link
3/19/2022,jd07051993,"Sana VP @lenirobredo, @iampinglacson,and isko can work together para sa bayan #Isko #KayLeniNaTayo ito po ung tunay na pagkakaisa hindi po ung nag color tagging and name tagging para di mahalata na walang nagawa. Fake din pala pagkakaisa -pagkakaisa tapos igroup nyo base on color","['isko', 'kayleninatayo']",https://twitter.com/JD07051993/status/1505179193063079936
3/19/2022,xxdarkaj,I'm for Leni but I won't deny the fact that Mayor Isko answered the question very well. 🌸🌷 #KayLeniNaTayo #KayLeniTayo #PiliPinasDebates2022 #pilipinasdebates  #Isko #STEM,"['kayleninatayo', 'kaylenitayo', 'pilipinasdebates2022', 'pilipinasdebates', 'isko', 'stem']",https://twitter.com/XxdarkAj/status/1505178662559428614
3/19/2022,louiebrunski,"Korek ka jan Yorme ung P203B na tax payable ng isang pamilya, sobra sa sapat na para sa agrikultura.  #PiliPinasDebates2022 #Isko","['pilipinasdebates2022', 'isko']",https://twitter.com/louiebrunski/status/1505169329477677062
3/19/2022,paulovesmom,Kuyog!!!  #Leni #Isko #Ping,"['leni', 'isko', 'ping']",https://twitter.com/PAUlovesMOM/status/1505168632200179721
3/19/2022,damnitri_,Taoo poooo may utang po ba jan???   #PiliPinasDebates2022 #Isko,"['pilipinasdebates2022', 'isko']",https://twitter.com/Damnitri_/status/1505168423919235076
3/19/2022,baby0811,Sa ‘yong pangangampatya.. #yorme #isko #iskomoreno #PilipinasDebates2022   #SwitchToIsko #ISKOrganic  https://t.co/UsbDiNBBo8,"['yorme', 'isko', 'iskomoreno', 'pilipinasdebates2022', 'switchtoisko', 'iskorganic']",https://twitter.com/baby0811/status/1505167291604140035
3/19/2022,soundcheckmnl,"#Isko @IskoMoreno knows exactly what he is doing, and is on fire tonight! #KayIskoPosible #SwitchToIsko","['isko', 'kayiskoposible', 'switchtoisko']",https://twitter.com/SoundCheckMNL/status/1505165267978289155
3/19/2022,acesky64003509,“May awa ang diyos” / “mga kababayan” galing na artista talaga nito ni #Isko  🤮🤮🤮 galawang #TRAPO #PiliPinasDebates2022,"['isko', 'trapo', 'pilipinasdebates2022']",https://twitter.com/AceSky64003509/status/1505164984481095693
3/19/2022,bladeheart131,"Grabe na mga #Leni supporters, pati mga #Isko supporters inaaway nila sa comment section ng comelec presidential debate. Nakikita kasi nila marami nang nag swiswitch to Isko. At this rate, they would end up at 3rd place 🤦‍♂️","['leni', 'isko']",https://twitter.com/Bladeheart131/status/1505160878823731201
3/19/2022,baby0811,Anong ang yong gagawin para magkaroon ng trabaho ang mga bagong graduates? #yorme #isko #iskomoreno #PilipinasDebates2022  #SwitchToIsko #ISKOrganic  https://t.co/4m1mTA46aA,"['yorme', 'isko', 'iskomoreno', 'pilipinasdebates2022', 'switchtoisko', 'iskorganic']",https://twitter.com/baby0811/status/1505159624944586757
3/19/2022,ryng2021,Nakita niyo yon? Sunog hahahaah #isko ☝️☝️💙💙💙 #PiliPinasDebates2022,"['isko', 'pilipinasdebates2022']",https://twitter.com/ryng2021/status/1505156502692462593
3/19/2022,baby0811,Mr. Montmayor was corrected by Yorme Isko re: IATF’s composition. #yorme #isko #iskomoreno #PilipinasDebates2022  #SwitchToIsko #ISKOrganic  https://t.co/GHQO7fCELp,"['yorme', 'isko', 'iskomoreno', 'pilipinasdebates2022', 'switchtoisko', 'iskorganic']",https://twitter.com/baby0811/status/1505155923857506305
3/19/2022,baby0811,Are we ready for another covid surge? — Yorme Isko #yorme #isko #iskomoreno #PilipinasDebates2022  #SwitchToIsko #ISKOrganic  https://t.co/zcXH5BLCHh,"['yorme', 'isko', 'iskomoreno', 'pilipinasdebates2022', 'switchtoisko', 'iskorganic']",https://twitter.com/baby0811/status/1505154639767158785
3/19/2022,theaquilaoculus,#Isko #Yorme nanghahawi ng mukha,"['isko', 'yorme']",https://twitter.com/TheAquilaOculus/status/1505150136888049666
3/19/2022,baby0811,"Is Build, Build, Build successful? Will you continue it? — Yorme Isko #yorme #isko #iskomoreno #PilipinasDebates2022 #SwitchToIsko #ISKOrganic  https://t.co/riCOeTB3st","['yorme', 'isko', 'iskomoreno', 'pilipinasdebates2022', 'switchtoisko', 'iskorganic']",https://twitter.com/baby0811/status/1505146430570496000
3/19/2022,baby0811,"First sector, he look into if elected President — agriculture. Yorme Isko #yorme #isko #iskomoreno #PilipinasDebates2022 #SwitchToIsko #ISKOrganic  https://t.co/xwaLbhhcfF","['yorme', 'isko', 'iskomoreno', 'pilipinasdebates2022', 'switchtoisko', 'iskorganic']",https://twitter.com/baby0811/status/1505141901191639041
