,tweet
76,"TOGETHER WE STAND, DEVIDED WE FALL. LET'S UNITE FOR THE COUNTRY.  #BBMIsMyPresident2022 #BBMSARA2022 #BBMParaSaLahat #GoBBM #UniTeam  #LabanMarcos #WeChooseMarcos"
77,MARCOS FAM  #BBMIsMyPresident2022 #BBMSARA2022 #BBMParaSaLahat #GoBBM #UniTeam  #LabanMarcos #WeChooseMarcos
78,YUNG HANGGANG SA PANAGINIP KO KASAMA SI @bongbongmarcos  KALOKAAAAA!!!!😂  #BBMIsMyPresident2022 #BBMSARA2022 #BBMParaSaLahat #GoBBM #UniTeam  #LabanMarcos #WeChooseMarcos
79,#MARCOSFAMILY #labanmarcos  #GoBBM  https://t.co/llIzNm7BLj
80,halos magpatayan kayo dahil kay #LeniForPresident2022 at @BBMsa2022 pro hindi ka naka register sa election! 😂 #LabanLeni #labanmarcos
81,@david_pilapil Paranaque City #LabanMarcos
82,First Family legit na legit!!!! 😇😇😇❤️❤️❤️ #BBMSARA2022 #UNiTeamBBMSARA #UniteamPHarena2022 #BangonBayanMuli #MahalinNatinAngPilipinas #MarcosPaRin #labanmarcos
83,#BBMSARA2022 #labanmarcos
84,#GoMarcos #LabanMarcos #BBMParaSaLahat  #OrasNaMarcosNa  https://t.co/Uf7pwUrqIp
85,So sad lang na grabe ang mga paninira ngayon laban kay BBM😢. #BBMForPresident #LabanBBM
86,"For once, I finally agreed to this man. Anyone qssociated with Quiboloy must not hold any government office otherwise it would be the demise of my beloved country.  #NoToBBM  #KulayRosasAngBukas  #LeniforPresident2022"
87,@GemoraAudie Yes sa dulo tlgang dinuktungan para sbhing mahaba at maraming tao..Lol🤣😅😂 #NoToBBM
88,LOUDER!!! LMAO #NOTOBBM
89,#LetLeniLead2022  #notobbm  https://t.co/q5MZAzhPSA
90,@dongabay #NoToBBM #NoToDuterte #Magnanakaw
91,YES! The Villars are up to no good teaming with an unqualified BBM. They have the ambition to control the country by hegemony thru the dirty tactics of plutocrat capitalism. #NoToBBM #MarkVillar IBASURA #VillarsLandgrabbers #DARsuperCorrupt #DARVillarCollaborators #LeniKiko2022
92," https://t.co/aoqfaE9yRP THE DESPICABLE, ANOMALOUS AND CORRUPT DAR....... #darcollaborator #darsupercorrupt #DarInutil #darnemesisoffarmers #VillarsLandgrabbers #notomarkvillar #StopLandGrabbing #NoToBBM #lenikiko2022gobernongtapat #LeniKiko2022  https://t.co/oNHx1iU8gv"
93,"Ilang debate pa ba mga Loyalists ang kailangan di niya puntahan para madala at magising kayo? Kung may plataporma, talino at may tunay na tapang... Haharap at haharap sa debate yan. Hindi puro Unity (ng mga Magnanakaw).  #MarcosDuwagParin #MarcosDuwagTalaga #MarcosDuwag #NoToBBM  https://t.co/zwMs9ylaB1"
94,This conversation is from one my my college friend na nag-attend ng proclamtion rally ni BBM dito sa Mandaluyong! MADUMING MAKINARYA!!!!🤮 #NoToBBM #PinkSunday #LetLeniLead  https://t.co/g8sKfw6ABk
