"","date","username","tweet","hashtags","link"
"58","2/15/2022","ivanathome","his own transcript did not pass any the courses during the fall 1981 overall he earned eleven credit units before withdrawing from the program it says major undeclared meaning he has not yet declared or chosen an actual major","['smnipresidentialdebate', 'switchtoisko']","https://twitter.com/IvanAtHome/status/1493571352233902080"
"59","2/15/2022","ivanathome","me after watching just 15 mins of this cringe","['smnipresidentialdebate', 'manggagawavsmagnanakaw', 'marcosmagnanakaw', 'switchtoisko']","https://twitter.com/IvanAtHome/status/1493569091998990336"
"60","2/15/2022","ivanathome","fact check walang ma degree si marcos jr hindi niya natapos ang degree niya dahil bumagsak siya hindi din siya makakapagapply sa ma dahil nga wala siyang undergraduate degree","['smnipresidentialdebate', 'manggagawavsmagnanakaw', 'marcosmagnanakaw', 'switchtoisko']","https://twitter.com/IvanAtHome/status/1493566555669467141"
"61","2/15/2022","ervinsaunako","basta kami kay","['switchtoisko', 'manggagawavsmagnanakaw']","https://twitter.com/ErvinSaunako/status/1493530945932369920"
"62","2/15/2022","oskeetv","tondominium 1 and tondominium 2 rise from a foreground of a slaughterhouse in the area of vitas tondo kay isko nagawa na dds isko alliance ctto","['switchtoisko', 'changeiskoming', 'biliskilos']","https://twitter.com/oskeetv/status/1493518398479024136"
"63","2/15/2022","kimmi_billie","the clamor is real","['kayiskoposible', 'godfirst', 'switchtoisko']","https://twitter.com/kimmi_billie/status/1493447314039521285"
"64","2/15/2022","girlielabastil1","ayaw niyang magkaalaman na mapapagtanto ng mas marami kung sino ang karapatdapat","['switchtoisko']","https://twitter.com/GirlieLabastil1/status/1493407792790585346"
"65","2/15/2022","oskeetv","kanya kanya na sila","['switchtoisko']","https://twitter.com/oskeetv/status/1493373099420848128"
"66","2/15/2022","switchtoisko_3","please check on what theyve done i mean their flagship projects hindi po yung basketball court or brgy hall i did dahil hindi ko na tinignan yung mga issues nilang lahat tinignan ko na lang mga resulta at pruweba na mga","['switchtoisko']","https://twitter.com/SwitchToIsko_3/status/1493303017705467904"
"67","2/14/2022","jeoffsolas","actually he was part of the process he was consulted he attended one of the meetings with mayor isko and he asked tough questions ramel said ob vico sotto hello pasig","['switchtoisko', 'halalan2022', 'eleksyon2022']","https://twitter.com/JeoffSolas/status/1493240692327723012"
"68","2/14/2022","fairlady8826","3","['kayiskopossible', 'switchtoisko', 'ibanamanbagonaman', 'tunaynasolusyonmabilisumaksyon']","https://twitter.com/fairlady8826/status/1493238168963129350"
"69","2/14/2022","soundcheckmnl","great start for the visayas","['iskomoreno', 'kayiskoposible', 'switchtoisko']","https://twitter.com/SoundCheckMNL/status/1493200141997596672"
"70","2/14/2022","everlastingdes","psst tingin ka sa payslip mo laki ng kinakaltas na tax no tas boboto ka ng tax evader wag ganon mars","['neverforget', 'switchtoisko']","https://twitter.com/everlastingDes/status/1493140916668104710"
"71","2/13/2022","kimmi_billie","sa mga nagpapakalat na uurong si isko at sya ay komunista","['godfirst', 'kayiskopossible']","https://twitter.com/kimmi_billie/status/1492878216498982927"
"72","2/13/2022","philpolitics22","pati ba naman edad gagawing issue kahit gaano ka pa katanda kung wala ka nman napatunayan ay daig ka ng sinasabi nyong bata pa at hilaw pa grow up peeps","['switchtoisko', 'iskomoreno', 'isko', 'biliskilos', 'kayiskopossible']","https://twitter.com/PhilPolitics22/status/1492875267236589571"
"73","2/13/2022","philpolitics22","he provides not just the housing project but also the dignity of his people","['biliskilos', 'iskomoreno', 'switchtoisko', 'kayiskopossible']","https://twitter.com/PhilPolitics22/status/1492874290240589831"
"74","2/13/2022","philpolitics22","marami pang pwedeng mangyari before the election mas marami ng mga filipino ang hindi basta basta naniniwala sa mga propaganda","['switchtoisko', 'kayiskopossible', 'biliskilos', 'iskomoreno', 'halalan2022']","https://twitter.com/PhilPolitics22/status/1492873613573509126"
"75","2/13/2022","philpolitics22","all those projects he did it in just 23 years amidst pandemic imagine how much more he can do in 6 years without the constraints of the pandemic","['switchtoisko', 'kayiskopossible', 'biliskilos', 'halalan2022']","https://twitter.com/PhilPolitics22/status/1492872572106842113"
"76","2/13/2022","philpolitics22","a wise voter has an open mind to consider all the merits of the candidates otherwise you are just a pathetic fanatic","['switchtoisko', 'iskomoreno', 'kayiskopossible', 'biliskilos']","https://twitter.com/PhilPolitics22/status/1492871812493221892"
"77","2/13/2022","philpolitics22","salamat po isa po kayong modelo ng totoong botante at hindi ng isang panatiko","['switchtoisko', 'iskomoreno', 'biliskilos', 'kayiskopossible']","https://twitter.com/PhilPolitics22/status/1492871028644913155"
"78","2/13/2022","ruthycabrera_","marami na ang lumipat at padagdag ng padagdag pa the silent majority will vote for isko moreno domagoso","['kayiskopossible', 'iskotayo', 'switchtoisko', 'winblue2022']","https://twitter.com/RuthyCabrera_/status/1492725106212491268"
"79","2/13/2022","nabihaul","tamang vibing lng si haechan eh noh","['2jointsparangmafia']","https://twitter.com/nabihaul/status/1492785167400050689"
"80","2/12/2022","imgabbyversoza","magtatagumpay tayo walang imposible may awa ang diyos ang imposible maaaring maging posible laban ito ng ordinaryong pilipino panahon na iba naman","['kayiskodocwillieposible', 'switchtoisko', 'tunaynasolusyonmabilisumaksyon']","https://twitter.com/imgabbyversoza/status/1492391695681421312"
