,date,tweet
225,2/14/2022,true pag si bbm okay lang bastusin pero pag si leni hindi pwede bakit dahil babae sya take note even leni robredo is not perfect
226,2/14/2022,great job prove what you have unity   intelligence   success
227,2/14/2022,aking presidente
228,2/14/2022,eh diba si bbm ang biktima ng fake news at propaganda baka naman mulat na ang mga mata ng tao sa mga paninira nyo mga mainstream media
229,2/14/2022,goodjob bbm tyaka ibigay nyo yan kay leni pang minority lng naman yung debate nayan baka mag1 pa ulit sa survey
230,2/14/2022,napanood ko yung sumisigaw ng magnanakaw kay bbm mukha naman clang edukado asal demonyo talaga grabe mga pinklawan nagmana na cla sa nanay nilang lutang at madumb
231,2/14/2022,huwag nating hayaang madaya tayong muli walang tulugan
232,2/14/2022,as if naman masilip nya pa kung sino talaga ishade ng nanay nya blackmail na pala labanan lol
233,2/14/2022,desperate move from desperate team
234,2/14/2022,dahil pabor kay bbm sasabihin nila bias itong pulse asia pero kung pabor kay leni very reliable source and data based huuyyyy mahiya naman kayo kahit minsan lang
235,2/14/2022,thats why i still choose
236,2/13/2022,omg thank you lord pandaraya nalang talaga gagawin ng mga pinklawan this election
237,2/13/2022,grabe talaga mga kakampinks ang babastos at walang manners whatever you say masaya si toni g sa desisyon niya at hindi niya kailangan ng kung ano anong supply dahil sa tinagal niya sa industriya mas mayaman pa yan sa mama niyo
238,2/13/2022,bongbong marcos ikaw ang presidente namin mga ofw solidsamasama tayong babangon muli
239,2/13/2022,nandito ako kanina may video ko kaso ang gulo dun kami sa 2nd vid na stop sa huli naglabasan mga tao dito grabe
240,2/13/2022,grabe naman dont forget
241,2/13/2022,idoln tlga kita toni matalino k tlaga
242,2/15/2022,wag sa mambubudol sa tapat po tayo
243,2/15/2022,mga bobo tong lbm sa tiktok na lakas mag mainam na aattend ng interview alamano nila pota kayo mga tanga
244,2/15/2022,palagay ko uurong muli si ka watan sa debate sa smni ni quiboloy kasi tiyak na masusunog siya kay ka leody
245,2/15/2022,good moaaaning everyone except bongbong marcos who probably spent his valentines stressed and anxious because he knows ka leody will finish him in that pedosponsored debate
246,2/15/2022,grabe hindi na nahiya paano nyo nasusuportahan pa rin ang ganitong tatakbo kawawa ang pilipinas kung ganito magiging lider ni hindi makapunta sa mga ganitong events para sana ibigay at ilahad ang plataporma nila kung meron man
247,2/15/2022,yung mga credible debates ayaw attendan kasi
248,2/15/2022,meron naman po yung nanay ni bbm na guilty sa 7 counts of graft
249,2/15/2022,because as long as he lives history haunts him his family and the only way to escape it is to deny anything that makes him remember it yet he has guts to place himself in the palace which is unrightfully and so wishful thinking of his
250,2/15/2022,haha ayan epal kasi ni imee eh kayo rin pala itong nagkakaproblema sa time management lols
251,2/15/2022,its funny that bbm supporters calling vp leni duwag just because she skipped smni presidential debate owned by quiloboy na wanted ng fbi for sextrafficking mas reliable ba to compared sa cnn presidential debate na dinecline ng amo nyo un totoo
252,2/15/2022,fyi may nakalinya na siyang event sa panay island and hindi siya sasayangin ang oras niya para pumunta sa okada para magreynareynahan diyan napupunta kita ng bulaang q
253,2/15/2022,hahaha funny back at your bet alamano pakibalikan debate record ng idol mo please
254,2/15/2022,so what time is ka leody and ka watans bardagulan for todays videow
255,2/15/2022,tangenaaa wag nyo kinukumpara si ms jessica soho kay quiboloy taena mahiya kayo hindi biased si jessica wala syang eneendorso habang nag iinterview sya pangalawa di wanted si jessica at di rapist haaha
256,2/15/2022,bwhqhahhaha lolo apat cla nd umattend ahhh
257,2/15/2022,ang isyu si na pa nga pala at bwaaahahahahaha
258,2/15/2022,sinetech itey busy daw pero nagluluto lng pala nahiya naman yung aspirant na mahina signal pero dumalo parin
259,2/15/2022,sinetech itey may pa box at 200 pesos pa na binibigay para may pumunta sa rally niya
260,2/15/2022,sinetech itey nagkaroon ng zoomicron dahil dq case
261,2/15/2022,sino paba ung dalawang tandem haha kung anong kinatapang ng ama nila kabaliktaran naman sila mga duwag hahaha
262,2/15/2022,nga naman oi wag kayo guilty
263,2/15/2022,did you just lowkey threw marcos junior into the trashbin lol u should not have commented like that if u know marcos can handle it it just confirms that ur camp is panicking last minute back out na yan hahaha
264,2/15/2022,ang hirap din kasi ng kalagayan niya pag di siya umattend for sure ang daming mapapaisip na supporters kung dapat pa ba siyang iboto kasi pag umattend naman for sure ang daming magdedecide na huwag na siyang iboto kasi
265,2/15/2022,buti na lang wala na to sa pbb ang kween ng absences sa paghohost
266,2/15/2022,22 hours na gising hindi kasi tayo tulad ng mga marcos na tamad at umaasa lang sa nakaw na yaman
267,2/15/2022,yung tatay magnanakaw yung nanay din guilty sa sandiganbayan yung anak tax evader yung ate fake ang mga credentials da who
268,2/15/2022,kung talagang matapang yang apo o tigre ng norte niyo attend cnn debates puta ganun ka simple ayaw sa bias pero gusto ng tigre niyo kay quiboloy lul dapat hindi tigre ng norte onting respeto naman sa mga tigre
269,2/15/2022,hahaha try harder mga bobongmarcos supporters
270,2/15/2022,tama po kayo dyan
271,2/15/2022,hwag bigyan ng puwang ang leniduwag
272,2/15/2022,huhu don lang kasi feeling safe si bobongmarcos
273,2/15/2022,puro kandidato tapos yung isa atty nya sino ang duwag
274,2/15/2022,hahahahaha true
275,2/15/2022,looking at the replies puro matitino usapan tas ako super gulat na ang daming interactions tweet bestiecakes anyways
276,2/15/2022,as usual sa frennie lang kakalampag pero sa professional reporters and hosts palaging absent
277,2/15/2022,alamano at its finest
